mapname,African-American,White,Hispanic/Latino,Asian,Other,avMdinc,perBach
Winchester Park,0.076143704,0.798082879,0.041425288,0.075562488,0.008784369,55712.9,21.6041
Wissahickon,0.044777573,0.887478864,0.029947088,0.023119647,0.014676497,55423.5,48.7011
Wissahickon Hills,0.062350189,0.863222131,0.018403795,0.024373063,0.031646962,65360.6,46.1121
Wissahickon Park,0.149743031,0.741892503,0.033722578,0.047411459,0.027229766,69862.4,55.2847
Wissinoming,0.258485467,0.468258481,0.226034095,0.02632885,0.02089305,33042.7,9.9115
Wister,0.83910214,0.116803207,0.026930088,0.00634274,0.01082118,27412.4,12.7925
Woodland Terrace,0.179172734,0.506416161,0.061716625,0.201666587,0.05102328,27489.1,43.3129
Wynnefield,0.823815602,0.074913082,0.03975694,0.029726958,0.031787223,37228.6,25.2827
Wynnefield Heights,0.455872714,0.340735014,0.03633811,0.121168949,0.045885214,29520.2,41.1874
Yorktown,0.591175278,0.258996134,0.085302627,0.033119775,0.031405765,21021.5,15.6453
